date,solve_secs,day,author,clues
2017-01-01,2033.0,Sunday,MATTHEW SEWELL ,"['Sponged', 'Asylum', 'Takes from page to screen, say', 'Pope with the longest reign between St. Peter and Pius VI (A.D. 67-1799)', 'Left speechless', 'On the down-low', 'They may be sealed or broken', 'Marquee locale', 'Degree in math', 'Gruesome', 'Companion of Han in ""The Force Awakens""', 'H.O.V. ___', 'Sénégal summers', 'Running figure', 'Players last produced in July 2016', 'Epic singers', 'Kicks back', 'Rural postal abbr.', 'Worthiness', 'Samberg and Serkis', 'Home of the Triple-A Mud Hens', 'Gets bogged down', 'Vitamin Shoppe competitor', 'Vegan sandwich filler', 'Calrissian of ""The Empire Strikes Back""', ""One end of Paris's Champs-Élysées"", 'Worked as a stockbroker', 'Capitol group', 'Designer Saarinen', 'Post-op program', 'Main stem', 'Rap group inducted into the Rock and Roll Hall of Fame in 2016', 'Pulled off', 'Like an unswept hearth', 'Brawl', '""That Latin Beat!"" bandleader', 'Advantage', 'Drone regulator, for short', 'Mrs., in Montreux', 'Magic Johnson, for one', ""Apothecary's container"", 'She, in Spanish', 'Passenger jet', 'Quinze + quinze', 'Actor with the line ""Gentlemen, you can\'t fight in here! This is the War Room!""', 'Fits snugly', 'Indra, to Hindus', ""Developer's purchase"", 'Giraffe-like beast', 'What might cost you an arm and a leg?', 'Washroom feature', 'Totally captivates', 'Muzzle', 'One who knows all the shortcuts, maybe', 'Fill in for', 'Game box specification', 'Flaky minerals', '""Mind ... blown!""', 'Glue trap brand', 'Tolkien meanie', 'Beverage with a floral bouquet', 'Hedge fund pro', ""Farmer's market alternative"", 'Admit', 'West Coast city known as the Track and Field Capital of the World', 'Mischievous sort', 'Miles away', 'Candy known for its orange wrapping', 'Muss up', 'Things always underfoot', 'George Eliot title surname', '""Swan Lake"" role', 'Place for bows and strings', ""Corporation's head tech expert, for short"", 'Tort basis', 'Wrap up around', 'Tosses', 'Not stay on topic', 'University associated with the Carter Center', 'Go-to choice, slangily', 'Weapon in some Call of Duty games', '""I didn\'t know that!""', 'John Glenn player in ""The Right Stuff""', 'Sore', ""Fawn's mother"", 'Winter fall?', 'Early explosive device', 'Modish', ""With 25-Down, financial regulator's requirement"", 'See 19-Down', 'Meteorological lead-in to stratus', 'Resolutely supported', 'Like some salsa', '""Antigone"" antagonist', ""Judge's seat"", 'Zig or zag', 'Capital of Belarus', 'Fog might push it back, briefly', 'Hawaiian ""thanks""', '""Brilliant!""', 'Attacks from above', 'Exclusive event before public availability', 'Exam with a section known as ""Logic Games,"" for short', 'Fighting tooth and nail', 'Hitching post?', 'Japanese ""thanks""', 'Made peak calls?', 'Unmitigated', ""Sin of those in Dante's fifth circle"", 'Quarters followers', 'Chic', '""Pretty please?""', 'Instruments played close to the chest, informally', '""Still, after all this time ...""', 'Imitates Sylvester the Cat', 'Results of treaties', 'Something to tear into, informally?', 'Bounds', 'Nautical sealer', 'Yemeni capital', 'Immense spans', 'It comes in tubes', 'It lays out the lines of authority', 'Show anxiety, in a way', 'Nag to death', 'Build up, as interest', 'Straight man', ""Boy's name that's an Indiana city"", 'Brazilian supermodel Bündchen', 'Vital lines', 'Slogs away', 'Kind of fiber', 'Attach, as a patch', ""They're found in veins"", 'Elephant pluckers of myth', 'Marching band?', 'Venice-to-Trieste dir.', '___ Paulo', 'Volunteer State sch.', 'Card game cry']"
2017-01-02,530.0,Monday,CHUCK DEODENE,"[""Leatherworker's tool"", 'Wrath', 'Sauce often used in a Bloody Mary', 'Port-au-Prince resident', '""Um-hmm, O.K.""', 'Call from a football referee', '""Please! Anything but!""', 'Onion relative used in soups', 'Little troublemakers', 'Charged particles', 'M.R.I. orderers', 'Versatile bean', 'Texas site of a 1993 siege', 'Itsy-bitsy branch', 'Some DVD players', 'Caustic agent', ""Japan's largest company by revenue"", 'Crops used in making cigarettes', 'Ready, willing and ___', 'Classic Eric Clapton song about unrequited love', 'Statutes', ""Loses one's hair"", 'Hold back, as a yawn', 'Moment, informally', ""World's fair, e.g."", 'Wish', 'Like the water in a baptism', 'Get bent out of shape', '___ talks (lecture series)', 'Busy time at the drive-thru', 'Nay voter', ""It's made up of DNA"", 'Message that might end ""R.I.P.""', 'Invaded in large numbers', '17-year insects', 'Standards by which things are measured', 'Follows, as a schedule', 'Monterrey Mrs.', 'Consumed', 'Get ___ of (grasp)', 'Communion tidbit', 'Vegetarianism or bohemianism', 'Three on a grandfather clock', 'Source of faraway X-rays', 'Foe', 'Pantry containers', 'Long, long ___', 'Web crawler, e.g.', 'Web-filled room, often', 'Spot for a food fight', 'Jackie of ""Shanghai Knights""', 'Honey Bunches of ___', '""Shameful!""', 'Really revel ... or a hint to the words formed by the circled letters', 'Take a chair', 'Indiana/Illinois separator', 'White ___ sheet', 'Troubles', 'Kurtz\'s rank in ""Apocalypse Now"": Abbr.', 'Mournful cry', 'To be, to Tacitus', 'Little things that say ""To"" and ""From""', 'Orchestra reed', 'Scissor cut', 'Swiss mount', '___ Paese (variety of cheese)', 'Spinning toy', ""Like beer that's not in a bottle"", 'Things split in fission', 'Make into 41-Across', 'Not the brightest bulb on the Christmas tree', 'Part bitten by a vampire', 'Mayberry boy', '""I understand,"" facetiously', ""Hound's warning"", 'Many online banners', 'Bit of butter', 'When a plane is due in, for short']"
2017-01-03,630.0,Tuesday,MICHAEL SHTEYMAN,"['Misgiving', 'Small quarrel', 'Leader from the House of Pahlavi', 'Eating pork, to an observant Jew or Muslim', 'Pac-12 hoops powerhouse', '___ Alto, Calif.', 'Not be inert, as two chemical compounds', 'Cognitive scientist Chomsky', ""10-Across's land"", 'Puerto Rico clock setting', 'Resealable bag', 'Chair with two hyphens in its name', ""Apple that might be seen on a teacher's desk"", '___-oriented', 'W.W. II spy org.', 'Genre for Mötley Crüe', 'Incendiary weapon', 'Fitness pro', 'Ohio city on Lake Erie', ""Czech-made auto that's part of the Volkswagen Group"", '""Yes ... ri-i-i-ight there!""', ""Airplane's direction"", 'Like custard', 'Adopted', ""Chain of children's stores founded by the Kaufman brothers (hence its name)"", 'Basis of particle physics', ""Nothin'"", 'Relative of fake news', 'Ghostly white', 'Fashionable Christian', 'Including all grades, briefly', '""Bear"" that\'s actually a marsupial', 'Gait faster than a walk', ""Baby's crib part"", '""Bon appétit!""', 'Three months: Abbr.', 'Neighbor of Oman, for short', ""Atty.'s org."", 'Neighborhood buzz?', '""Veritas"" for Harvard or ""Veritas vos liberabit"" for Johns Hopkins', 'Sushi fish', 'Trash bin on a computer screen, e.g.', 'Dead-tired?', 'Acquainted (with)', 'Pointy-eared dog', 'Big maker of gummy bears', 'Los ___ National Laboratory', 'Sweetie pies', 'Like some digital clocks, for short', 'Maria known as ""La Divina""', 'Bygone alcopop', 'TV\'s ""How ___ Your Mother""', 'Way', '""Giant Brain"" introduced in 1946', 'Not expressly stated', 'Abbr. in many an urban address', 'Pope said to have died from a heart attack while in bed with his mistress', 'Former heavyweight champion with a tattooed face', ""Soldiers' digs?"", 'Canceled, as a mission', 'Tense', 'They may be caught at the beach ... or out at sea', 'Communications giant ... or a possible title of this puzzle', 'All talk, no action', 'Bringer of bad luck', '___ Pictures (bygone studio)', 'Store known for its Blue Light Specials', 'Stopper', 'Bridge charge', '""The joke\'s on you""', 'Off-ramp sign', 'Trek to Mecca', 'Band with the 1977 hit ""Telephone Line,"" in brief', ""Yea's opposite""]"
2017-01-04,1217.0,Wednesday,SAMUEL A. DONALDSON,"['Bee ball?', 'Somewhat', ""Historian's focus"", 'Sarcastic ""Amazing!""', 'Hedonistic sort', ""Janis's spouse in the comics"", 'The new dentist wanted to make a good ...', ""Gymnast's asset"", 'Secret group in ""The Da Vinci Code""', 'Important contacts', 'Kind of cross or yogurt', 'The dentist helped the patient afford the visit with a ...', 'Previously, previously', 'Mystical character', 'Albanian currency', 'Info on a wine label', 'Target of crunches', 'Heads for the bar?', 'Org. that prohibits traveling', 'Dispatched, as a dragon', 'Young sea lion', 'Big D.C. lobby', 'Rogen of ""Sausage Party""', 'The dentist sorted all the bristled instruments into ...', '""Too rich for my blood""', 'Flub', 'Super 8 alternative', 'Burst out laughing', 'When it was time for the filling, the dentist asked for, well, ...', '""Diana"" singer Paul', ""Like Mother Hubbard's cupboard"", 'Insurance giant', ""Capone's nemesis"", 'Call in court', 'A workout works one up', 'Loose change ""collector""', ""Fillmore's party"", 'Prefix with cultural', 'Decline again', 'Parceling (out)', '___ ant', 'Word after carrot or muffin', 'Night light up north', 'Intensify', ""It'll open many doors"", 'Like much of Arizona', 'Plum used to flavor gin', 'Singer Tennille', 'By ___ (alone)', 'Good name for a plaintiff?', 'Die', 'Pentagon V.I.P.s', 'Belarussian money', 'Atlas extra', 'Barack Obama, astrologically', 'Kidney-related', 'Buffalo pro', 'Bunkers', 'M M M', 'Shape of the world', 'Friskies rival', 'All plane attendants in attendance', 'Congo ape', 'Where fashions debut', 'Some luxury bags', 'Short amount of time?', 'Cannon on screen', 'Best of the best', 'Big laughs', 'Word in some French restaurant names', ""Franklin's flier"", ""What's got the upper hand?"", ""Surveyor's map"", 'Numero after due']"
2017-01-05,1091.0,Thursday,ED SESSA,"['Half of a Wall Street firm since 1882', 'One working on hands and knees', 'Eye-level sensor', 'She played Annie Lee in ""Selma""', 'How fish is shipped, often', 'Copyright year for ""Shrek"" and ""Monsters, Inc.""', '*Put-down to an ignorant person', '*""Bingo!""', 'Irish red ___', '___ Coyote (toon)', 'Bosox slugger a.k.a. Big Papi', ""*Headless Horseman's prop"", 'Part of a Yiddish phrase of dismay', 'Prompter?', 'Brewing agents', 'Throw a hissy fit', 'Financial guru Suze', 'It may be pulled on a road', '*Tool for removing heavy footwear', '*Comic actor / *Card game ... or a hint to the answers to the starred clues', '*Slender tree of northern North America', 'Ice cream maker Joseph', 'Enthusiast', ""Wyoming's ___ Range"", 'Musical set in France, informally', 'Govt. org. that gets tips from whistleblowers', 'Gob', '*Quesadilla cheese', 'Former Maine senator Olympia', 'Mizrahi of fashion', 'Vardalos of ""My Big Fat Greek Wedding""', '*Trunk item', '*Versatile worker', ""N.Y.C.'s Third or Fifth"", 'Roasted, in a way', '""___ Mio""', 'Ending with fly and drive', 'Bases of nightmares', 'Stand-up comic Sykes', 'Bean used to make tempeh', 'Speed skater Ohno', 'Like Vlad the Impaler', 'Tricked', 'Robbed of the spotlight', 'Nixon in 1995 or Lincoln in 2012', 'Comics artist', 'Tablecloths and napkins', 'Prefix with conscious', 'Mended, as rugs', 'Ineffectual exec', 'Mine, to Mimi', 'Scallop-edged cracker', 'Nick at ___', 'Stephen of ""V for Vendetta""', '___ above', 'Gibble-gabble', 'Nickname for Tony', 'In public', ""___ Tesfaye a.k.a. R&B's the Weeknd"", '""Longtime companion"" for ""same-sex partner,"" once', ""They're good at drawing kids"", 'Directed', 'Company for which about one in eight U.S. workers has worked', 'Small enterprise?', ""Fruit that's sometimes poached"", 'Write and send quickly, as a letter', '1994 Brandon Lee action film', 'Gaping mouth', 'TKOs, e.g.', 'Sporty two-seater', 'William ___, physician who championed bedside training', 'Stop at', 'Stock figure', 'Cut covering', 'Shade of blue', 'No longer at anchor', 'Figure on a rate sheet', 'Fat ___ pig']"
2017-01-06,1348.0,Friday,JACOB STULBERG,"['Thrilled', 'Browsing inits.', 'Suitable for printing', 'Fig. in annual reports', 'Shows respect, in a way', 'Quicken Loans Arena athlete, for short', 'Hydroxides, e.g.', 'Line on a bill', '""No way"" man', 'Brainiac, stereotypically', 'Lead-in to one or time', 'Group that grows every May', 'Numero su un orologio', 'Master', 'Windblown', 'Lushes', 'Targets of snuffers', 'Home of a Big 12 school', 'Unhealthy', 'Rest', 'Place of rest', 'Singer Womack with the 2000 hit ""I Hope You Dance""', 'Heighten', 'Depot info, for short', '[That was bad of you!]', 'Synagogue holding', ""Lifeguard's concern, in brief"", 'Elisabeth of ""CSI""', '""___ shut me up in Prose"" (Emily Dickinson poem)', 'Key on a keyboard', 'Block', 'Frosted ___ Flakes (breakfast cereal)', 'Period following the Renaissance', 'Healthy', 'Get 10 from one?', 'Fish ___', 'In this world', 'One eighth', 'More prideful', 'Hit Fox drama starting in 2015', 'Maintain, in a way, as a lawn', '""___: Legacy"" (2010 film sequel)', '""Birds in an Aquarium"" artist', '""Thanks in old age - thanks ___ I go"": Walt Whitman', 'Chaotic', 'National Memorial Cemetery of the Pacific locale', 'Whoopi\'s ""Ghost"" role', 'Weekly magazine publisher since 1896: Abbr.', 'Flash source', 'Venomous swimmer', 'Peaceful protests', 'Kind of calendar', 'Without regard for privacy', 'Close to the bottom', ""Ovary's place"", 'Out', 'Place in battle formation', 'Cry after a score, maybe', ""Critic's place, so to speak"", 'What the Wicked Witch of the West called Dorothy', 'Discard', 'Originally', 'Mead holder', 'Argument', 'Numbers game?', 'One of the Wayans brothers', 'Lifted', 'Get 10 from two?', 'Blue', 'Kind of lab', '""Aladdin"" character who\'s transformed into an elephant', 'Distant']"
2017-01-07,1243.0,Saturday,ROLAND HUGET,"[""Barbecue chef's coat"", 'Angry Birds starting in 2010, e.g.', 'Pick up', 'Something on a ticket', 'Deeply felt', 'Small stabs', 'Overused', '""Kinda""', 'Company with a buck in its logo', 'Literary character self-described as ""poor, obscure, plain and little""', 'Ostracized sort', 'Plane wing part', 'Inits. after a big media merger of 1958', 'All-weather convertible?', 'Alternative to Food Lion or Piggly Wiggly', '1990s ""caught on tape"" series', 'Vagaries', '""No hard feelings?""', 'Query about a phone call', 'Many a maid of honor', 'Roach of old comedy', 'In the dictionary, say', 'Mitsubishi sports car, for short', 'Some thirst quenchers', 'Shrinking', 'Seed coat', 'Something water lacks', 'Tranquil and minimalistic', ""It might reveal what you've lost"", 'Up to speed, musically', 'Something to pick a number from', 'One taking heat at work?', 'Synthetic dye compound', '""Talk to the hand""', 'Gives a number?', 'One pressing the flesh', 'Subspecies of a distinct geographical variety', ""Features of many doctor's office waiting rooms"", 'Veil material', 'Widespread', 'Latin American soccer powerhouse: Abbr.', ""It's what you think"", 'Assured', '[Take THAT!]', 'Within', 'Banquets', 'Not merely good', 'Aristocracy', 'Pre-euro money', 'What a wormhole is a tunnel in', 'Court blowout', 'Took it easy', 'Pricey strings', 'iPhone rival', 'Brief topic', 'D.M.V. demands', 'Hot spot', 'Thoughts of wishful thinkers', 'Imbibed modestly', 'Ingredient in Pringles Light', 'Unit in superfast data transfer', 'Old Scratch, with ""the""', 'Wearable status symbols', 'Stealth fighters', 'Provide direction', 'Express starting in 2000', 'Model who wrote the 1996 book ""True Beauty""', 'Fall rapidly, as sales', ""Grocery brand that's also a girl's name"", '""Les Mille et ___ Nuits""']"
2017-01-08,1904.0,Sunday,ERIK AGARD and PETER BRODA ,"['Loops in, in a way', 'Goddess with a throne headdress', 'Tempo', ""Figs. on drivers' licenses"", 'When repeated, a Pacific tourist destination', ""Fish whose name is a celebrity's name minus an R"", 'Old bandleader with an Egyptian-inspired name', 'Outrigger projections', 'Things smoked by singer Courtney?', 'Scandalmaker in 2002 news', 'Speed demon', 'Headwear the N.B.A. banned in 2005', 'Game involving sharp projectiles and alcohol', ""Parrot's cry"", '1950s prez', '""Charlie Hustle is my name / I am banned from Hall of Fame,"" e.g.?', 'Fist bump', '""Yes, ___!""', 'Put a coat on', '""Eureka!"" moments', 'Press', 'Cloth colorist', 'Feature of Africa', '___ oil', 'Televangelist Joel', 'Alternative to ""News"" and ""Maps"" in a Google search', 'Road restriction', 'Pugnacious Olympian', 'Relative of a ferret', 'Cold and wet', ""F.B.I.'s div."", 'Hoopster Steph not playing at home?', 'Riffraff', 'Japanese watchmaker', 'Like Granny Smith apples', 'Endless chore', ""Dickens's Uriah"", 'Sega Genesis competitor, in brief', 'Radiant', 'Intersect', ""The sport of boxing in the 1960s and '70s, essentially?"", '""Nothing to write home about""', 'Groups with co-pays, briefly', 'Jockey strap', '""Star Trek: T.N.G."" role', 'Installment', 'Personalized gifts for music lovers', 'Valet in P. G. Wodehouse stories', 'Contemporary hybrid music genre', ""Sots' sounds"", 'Nickname for Louise', 'Feast', 'Sail support', 'In unison', 'Echo effect', 'El operator in the Windy City, briefly', 'Hat for pop singer Corey?', 'Anthem contraction', '""Uhh ...""', 'Show what you know, say', '""In all probability""', 'Regular', 'Obstinate one, astrologically', 'Two-time Best Actor winner arriving early?', 'Four-star rank: Abbr.', 'Monopoly purchase', 'Singer/songwriter Laura', 'Little foxes', 'Slump', '___ cosa (something else: Sp.)', 'Wanders (about)', 'They begin in juin', 'Original airer of ""The Hitchhiker\'s Guide to the Galaxy""', 'Pop competition', 'Something smoked by comic Chris?', 'Hang on to', 'Org. against doping', 'Spindly-limbed', 'Shakespeare villain', ""Photo of Canada's former prime minister Stephen?"", '""Stay ___""', 'Aardvarks, by another name', 'Enter surreptitiously', 'Press lightly, as the brakes', 'He was buried in 1915 and died in 1926', 'Dressage gait', 'Invoice figs.', '___ lily', 'Fulminating', 'Dwarf planet more massive than Pluto', 'Atypical', 'Summer hrs. in Phila.', 'Literary device used to address plot inconsistencies', 'Nephrologists study them', 'Spies, informally', ""M.L.K.'s title: Abbr."", '""Today"" personality', ""Shark's home"", 'Close by', 'Egg producer', 'Arctic fliers', 'Blow it', ""Like a handyman's projects, for short"", '""Anything! Anything at all!""', 'Shade of pink', 'Sword fight, e.g.', 'Filament sites, in botany', 'Imprisoned', ""Underhanded use of someone else's domain name"", 'Troubles', 'Cherry for talk show host Chelsea?', 'Glimpsed', 'Forswear', 'Genius', 'Arm muscle, informally', '___ drop', 'Miney follower', '""Idomeneo"" composer', '""All My ___ Live in Texas""', 'U.N.C. student', 'Figure at the center of a maze', 'Tahoe, for one', 'Entourage of a 1990s white rapper?', 'Musical intermission', 'Continuous', 'Flamboyantly successful sort', ""Trampolinist's wear"", 'Start to -scope', 'Cincinnati squad', 'Dude, in British lingo', 'Smallish batteries', 'Long spear', 'Makes ""it""', 'Zone', '""Dark Sky Island"" singer', 'Drink sometimes served hot', '""Snowden"" org.', '___, cuatro, seis, ocho ...']"
2017-01-09,462.0,Monday,NEVILLE FOGARTY,"['Puts on TV or radio', 'Ending on several central Asian country names', 'Meanie in ""Jack and the Beanstalk""', 'U.S. weather agcy.', ""Zeus' wife"", '___ and wiser', '1990s TV series about a murder in a town in Washington', 'Film director Kurosawa', 'Made smooth, as wood', 'Part of the conjugation of the French ""avoir""', 'And others, for short', 'Bump fists', 'K-K-K-5-5, e.g., in poker', 'Exhibit in an anatomy class', 'Guided', 'Is sick', 'Four-baggers: Abbr.', 'Like favorite stations on a car radio', 'Pie ___ mode', 'Result of failure to comb the hair after sleep, maybe ... or a feature of 17-, 25-, 49- or 61-Across?', 'School grp.', 'Young male viewed as a sex object', 'Black ___ (covert doings)', '___ Ticonderoga', 'Apr. 15 mail addressee', 'Place to pull over on an interstate', 'English monarch with a ""lace"" named after her', '___-rock (music genre)', 'Land between Can. and Mex.', 'Inits. at the start of a memo', '""You ready?""', 'Drilling tool', 'Hooded snake', 'Thin pancake', 'Place for the banjo in ""Oh! Susanna""', 'Exposition', 'N.B.A. star ___ Irving', 'Freezes, with ""over""', 'Worry', 'Picnic pests', 'State that produces the most corn', 'Weather-related stoppage in baseball', 'Beach footwear', 'Tool building', 'Lipton offering', 'Genesis vessel', 'Word before congestion or spray', 'Job that might involve watching the kids?', 'Variety', 'French farewell', '""Rats!""', 'Use a stencil on', 'Amorous cartoon skunk', '""No thanks""', 'President after Nixon', 'Like a sheep with all its wool', 'Praiseful poem', 'Onetime Volvo competitor', 'K, in the NATO alphabet', '""According to conventional wisdom ...""', 'Place to drink lined with TVs', 'French ""to be""', '""So long!""', 'Joy Adamson book about Elsa the lioness', 'Fencing sword', 'Coat and ___', 'Decrease', 'Soft mineral', 'Phony doc', 'Unscrupulous moneylending', ""Rarin' to go"", 'Republican pol Haley from South Carolina', 'Gets 16-Across', ""Buffalo's lake"", 'Sour', 'Prefix with dermis', '""Monsters, ___"" (2001 movie)', 'Word before a maiden name']"
2017-01-10,926.0,Tuesday,DAVID POOLE,"['*One side of a 23-Across piece', '*Leeway', ""Tolkien's Treebeard, e.g."", 'Switch from plastic to paper, say', 'Hedren of ""The Birds""', 'Actress Vardalos', 'Aggregate', 'Buildings in a Washington, D.C., ""row""', 'Widespread', 'Julio is part of it', '*Formation of poker chips', 'Disc-flipping board game hinted at by a word ladder formed by the answers to the nine starred clues', 'Slaps with a court fine', 'Where ""Hamlet"" opens', '*Celery unit', 'Largest U.S. univ. system', 'Baltic capital', '*Hackneyed', 'Not just bite and swallow', 'Haphazard', '*Sedimentary rock', 'Dollar bill, e.g.', 'Moves heavenward', 'Another name for 23-Across', '*Pinocchio swallower', 'Part of L.G.B.T.', 'The Panthers of the A.C.C.', 'Twosome in a Shakespeare title', 'Nut jobs', 'Fair-hiring letters', ""Mimic's ability"", 'Creator of a logical ""razor""', 'Coastal raptor', '*""___ England Slept"" (1938 Churchill book)', '*Other side of a 23-Across piece', '""Congratulations!""', 'Actor Paul of ""American Graffiti""', 'Embarrass', 'Social standing', 'Metric measures: Abbr.', 'Trial figures', 'Prom night rental', 'Police dept. alert', 'H&R Block V.I.P.', 'Mouths, slangily', 'Pioneering computer of the 1940s', 'Eleanor Roosevelt, to Theodore', 'Items on a to-do list', 'Something to do immediately after waking up', 'The whole ball of wax', 'Albanian currency', 'Way too uptight', 'Insider informant', 'Corporate raider Carl', 'H.S. students getting ready for college', 'Up to, informally', '___ Khan', 'Airplane seat restraint', '""Now I get it!""', '___ Aviv', 'Farm female', 'Composition of dunes', 'Sounds of disapproval', 'Rules in force in England before the Norman conquest', 'A few: Abbr.', 'Grand Marnier flavor', 'Josephine who wrote ""The Daughter of Time""', '""Shucks!""', 'See-through', 'Big name in cameras and copiers', 'Notable time period', 'Perfumer Nina', 'Brown ermine', '""Who\'s there?"" response', 'Robt. E. Lee, e.g.', 'Book between Galatians and Philippians: Abbr.', 'The year 1002', 'Setting for simmering']"
