,solve_time,day_of_week,author,clues
2015-01-01,<module 'time' (built-in)>,Thursday,JEFF CHEN and JILL DENNY,"['Person close to 100?', 'Kind of game or line', 'Belt and hose', 'Poker declaration', 'Neil Armstrong declaration', 'Film critic Jeffrey', 'Part of a dovetail joint', 'Sub', 'Seizure sensors, for short', 'What a parent might warn a child to watch out for', ""Deviate from one's path"", 'Bash with a splash', '""___ inglés?""', 'Noir alternative', ""Part of a Spanish explorer's name"", '""Funny Girl"" composer', 'Chutes and ladders locale', 'Ho Chi Minh City festival', '1961 Tony winner for Best Musical', 'Sistine Chapel painting setting', 'Antennae, so to speak', 'Charged', 'Butterfly, but not a caterpillar', 'Average ... or a literal hint to 17-, 26- and 42-Across', 'Cave', 'Trump', ""Duke's transportation?"", ""Game for which it's helpful to have hands-on experience?"", 'House work?', 'Comedian Mort', 'Deuce follower', 'Until', 'Beginning', '""Now ___ shakes my soul"": Sappho', 'Highest power?', ""Traveler's checks, for short?"", 'Not let up in criticism', 'Site of a 1953 C.I.A.-directed coup', 'Paddle around', 'Organlike legume', 'Function', 'Taxi eschewer, for short', 'Animal shelter animal', '2013 Joaquin Phoenix film', 'Chest compressor, for short', 'In abundance', 'Ritzy', 'Promoted', 'Real imp', 'Brio', 'Big name in morning radio', '""The Confessions of ___ Turner"" (1967 Pulitzer winner)', 'Wallop', '""___, boy!""', 'Canned food made by Nestlé', '""L.A. Law"" actress', 'Peter Fonda\'s role in ""Easy Rider""', '___ Lingus', 'TV channel with the slogan ""Very Funny""', 'Concern', 'Clinton-backed pact', '""Don\'t blame me!""', 'Brain-freezing treat', 'Sitcom character who curses by shouting ""Shazbot!""', 'Special quality', 'Eats', '""Hedda Gabler"" setting', ""Org. that's most likely to appreciate this puzzle?"", 'Sketches, e.g.', 'Short flight', ""New Year's ___"", 'Job ad abbr.']"
2015-01-02,<module 'time' (built-in)>,Friday,DAVID STEINBERG,"['One at the head of the class, informally', '""Fearless"" star, 2006', 'Green yardstick', ""They may be marked with X's"", 'Panegyrical lines', 'What to call a cardinal', 'Shooter for kids', '1958 #1 hit composed by Vice President Charles Dawes', 'Rouge counterpart', 'Slightly', 'Burning sensation?', 'Stuffed accessories', 'Pluto, for one', 'Rats', 'Brand maker?', 'Classic computer game played on a grid', 'Sci-fi narcotic', 'Leaning column?', '10 micronewtons', 'Group for people who are feeling blue?', 'Sierra Leone-to-Burkina Faso dir.', 'Hocus-pocus', 'Sportswriter Pasquarelli', 'Living', '""The proper task of life,"" per Nietzsche', 'Modern connection points', 'Newbery Medal-winning author Eleanor', 'Falafel topper', 'One with paper cuts?', ""Kiwi's neighbor"", 'Calculator button', 'Code with tags', 'Mitchell with the platinum album ""Blue""', 'Like 2014 but not 2015', 'Salon job', 'Source of dirty looks', 'Roman ""video""', 'Fries things?', 'Disinclined to move', 'Takes a second?', ""1,000 G's"", ""It's a dive"", 'Hearts', 'Tagging along', ""People's 1992 Sexiest Man Alive"", 'Brunch offering', 'High-five request', 'Satisfy', 'Comparatively sound', 'Got by', 'Place where people lived in ""How the Other Half Lives""', 'It might change color', 'Detroit debut of 1927', 'Fist-pounding boss, say', 'Be coquettish with', 'Macroeconomics pioneer', 'Women, in pulp fiction', 'YouTube upload', ""Member of Clinton's cabinet for all eight years"", 'New ___', 'Part of 5-Down', 'Long-stemmed flower', ""There's not much interest in these nowadays"", 'Best of classic rock']"
2015-01-03,<module 'time' (built-in)>,Saturday,SAM EZERSKY,"['Bollix', 'Rough selection?', '1975 Golden Globe winner', 'Merry Men member', 'Marty Robbins\'s ""___ the Lucky One""', 'One doing 40+?', 'Speech closing?', ""They're laid down in shipyards"", 'Notice after the expiration date?', '""Uh, yeah!""', '___ Rebellion (colonial uprising)', 'Just for Men target', 'Incidentally', ""Auntie Mame's secretary"", 'Rear of a disco?', '""___ Jeunes de Paris"" (recurring ""S.N.L."" sketch)', 'Munchie often dipped in marinara', 'Info for air traffic control', 'Like some carpets and autumn leaves', 'Classic Harlem ballroom, with ""the""', 'Feature of many a convertible or Jeep', 'Hinge', '""The Return of Doctor X"" star, 1939', 'Poet Howard who wrote ""A Primer of the Daily Round""', 'Aéroports de Paris manages it', ""Kofi Annan's home"", 'Before now', 'Ball carriers', 'Completely fixed', 'Its last model was the 1941 Skylark', 'Dean\'s ""East of Eden"" role', 'Eschewing a higher calling?', 'Maker of iComfort', 'Crossword, e.g.', '""Oops, that had escaped me""', 'Boxer-turned-sitcom star', 'Setting for Twins games: Abbr.', 'Traditional three-liner', 'Ejection protection', 'Month in which Creation began, by tradition', 'Triple-time dance, in Durango', 'Size up?: Abbr.', 'Phillie foe', 'Senselessness', 'No wuss', 'Liquid part of fat', '""Shoot!""', 'Leave shore, perhaps', 'Cry for attention', 'Test letter?', ""It's unfathomable"", 'Flat sign', '""Whoa, whoa!""', 'Taste', 'Real-time storm tracker', 'One concerned with invasive species', 'Liquor with the slogan ""West of Expected""', 'Major fault', 'Something discounted at a deli?', 'Argument-ending declaration', 'One with a signature role?', 'De Klerk succeeded him', '""In ___?""', 'Rosetta Stone figure', 'Trading places', 'Clench', 'Start to ski?', '""Vous,"" informally', 'Special delivery figs.?', 'Ahead of, once']"
2015-01-04,<module 'time' (built-in)>,Sunday,FINN VIGELAND ,"['The ""1"" of 1/4', 'Org. portrayed in ""American Hustle""', 'Conceal, in a way', 'Aloof', 'Subj. that gets into circulation?', ""Caterer's container"", 'Starters', 'Spring', 'Greeting at the door', 'Daily newspaper feature, informally', 'Rabelaisian', 'Signs from above', 'Part of U.N.C.F.', '""Nobody\'s infallible, not even me""', 'Literary genre of ""David Copperfield"" or ""Ender\'s Game""', 'World-weary', 'U.K. record label', 'States', 'So-called ""herb of remembrance""', 'Jimmy', 'Serenader, maybe', 'Something a chair has', '""Candid Camera"" feature', 'To the same extent', 'What a hippie lives in?', 'Takes to court', 'Novelist Frank who wrote ""The Octopus""', 'She, in Brazil', 'Hipster beer, for short', 'Most IRT lines in the Bronx, e.g.', 'Cry of discovery', '___ cotta', 'Like smoothie fruit', 'Rocker Weymouth of the Talking Heads', 'Title song question in Disney\'s ""Frozen""', '___ jacket', 'Abalone', 'Southern African desert', 'You can bank on it', 'Bygone French coin', 'Foreign policy grp.', 'Window units, briefly', '___ Stark, Oona Chaplin\'s ""Game of Thrones"" role', ""Friend's couch, perhaps"", 'Stuffed Jewish dish', 'Leslie of ""Gigi"" and ""Lili""', 'Singer Mann', '""Tom ___"" (#1 Kingston Trio hit)', 'Reclined', 'Sang like Ella', 'What may eat you out of house and home?', 'Hon', '37-Across, informally', 'Some police attire', 'Academy Award winner who has played both a U.S. president and God', ""Cover subject on Ms. magazine's debut issue, 1972"", 'Easily bribed', 'City burned in Genesis', '___ algebra', 'Scope', '1990s craze', 'Eats up', 'Kitchen gadget', 'Free ad, for short', 'Water carrier', 'See 52-Down', 'Like stereotypical TV neighbors', 'Application info: Abbr.', 'Spanish article', 'Pioneering urbanologist Jane', 'Inability to recall the names of everyday objects', 'To wit', 'Entertainment', 'Elicit', '""Delaware Water Gap"" painter George', 'Long period of stability ending circa A.D. 180', ""Part of Lawrence Welk's introduction"", ""Enthusiastic, sociable, confident type, it's said"", 'Norma Jean, later', 'Kitchen gadget', 'Certain weanling', 'One of a Greek trio', '100% guaranteed', '""Kinderszenen"" composer', ""Exclamation repeated in the Monkees' TV theme song"", 'Is a mixologist', 'Drug also known as Ecstasy', 'Big Ten rival of UMich', ""College sr.'s test"", 'Award for Hunt and Peck', ""Shooters' org."", 'Its drafts may be crafts', 'Bothers', 'Fourth word in the ""Star Wars"" prologue', 'Kind of blue', 'Ones holding hands?', '""Un Ballo in Maschera"" aria', 'Hesitant start to a question', '+ end', '""Ooh-la-la!""', 'Cold treat, informally', 'With 126-Across, first European to cross the Mississippi', 'Thrills', 'Website billed as ""the front page of the Internet""', 'Clinches', 'Repast for a late riser', 'Singer Carly ___ Jepsen', '___ favor', 'Good wood for cabinetmaking', 'Where bombs are bursting, per Francis Scott Key', '""Au contraire!""', '""Gimme a break!""', 'Quick round of tennis', 'Takes on', 'Summers of old?', ""President Arthur's nickname"", 'Feature of much modern architecture', 'Hill or dale', 'Mama ___', 'Popular Eastern beverage', 'Largest state of Brazil', 'Deadly viper', 'Suffix with hotel', 'Container in a 34-Down', 'Place to kick your feet up', 'Solid rock center?', 'Very much', '___ thruster (NASA system)', 'Wanders (around)', 'Traveling around the holidays, maybe', 'New Jersey town next to Fort Lee', ""1960s-'80s Pontiac"", 'Substitute', 'Edward Snowden subj.', '""Quo Vadis"" character', 'Nutty', 'Tries to win', 'You can trip on it', 'Dude', 'Has the ability to']"
2015-01-05,<module 'time' (built-in)>,Monday,JOHN GUZZETTA,"['More achy', 'Item in a pod', 'Helpful website feature, for short', 'First month of el año', 'Panorama', 'Cousins of ostriches', 'Skillful lawyer', 'Not fatty', 'Result of a failed Breathalyzer test, for short', '90° turn', '""Sorry, that ___ happenin\'!""', 'Dullards', 'Cantankerous fellow', 'Folklore stories', '""___ my case""', 'Crash sound', 'Clerk on ""The Simpsons""', '""That suits me to ___""', '___ Lemon, ""30 Rock"" character', 'Relative youngster', '""Now I see!""', 'Pronoun before ""shalt not""', 'Light brown', 'Chaney who starred in ""The Phantom of the Opera""', 'Duke or duchess', '""Just do it"" shoes', 'Hard-liner on government spending', 'Michelin product', 'Care for, as a garden', 'Urging from a dinner host', 'Bonkers', 'N.Y.C. home of Magrittes and Matisses', 'Goofball', 'French yeses', 'National gem of Australia', 'Word before planet or peace', 'Hankering', 'Curse', 'Whole ___ (grocery chain)', 'Not often', 'Traffic sign with an arrow', 'Pass along, as a past present', 'Reagan ___ (most of the 1980s)', 'What an actor plays', 'Bacon source', 'Coral dweller', 'Amazement', '""___ Navidad""', 'Open to suggestions', '""Roses are red ...,"" e.g.', 'Nine-digit ID', 'Frankie of the Four Seasons', '""Evil Woman"" grp.', ""Like many Mexicans' forebears"", '___-Pei (dog breed)', 'One trying to grab a bite at the theater?', ""Girl's name that's a Hebrew letter"", '""Can you ___ in a sentence?"" (spelling bee request)', 'Area between the two Koreas, for short', 'Ready for the rotisserie', 'Not touched, as a boxer', 'Public mention', 'Nightmare for the C.D.C.', 'Invader of old Rome', 'Work with yarn', ""Priest's robe"", 'Tom ___, onetime Marilyn Monroe co-star', 'Robe tied with an obi', 'Like 18 1/2 minutes of the Watergate tapes', 'Passover meals', 'Grind, as the teeth', 'Nickname for Catherine', '""Woo-hoo! The weekend\'s almost here!""', '""Après ___ le déluge""', 'Soak up', 'Big event at the N.Y.S.E.', 'Airport with the Tom Bradley Intl. Terminal', 'Singer Yoko']"
2015-01-06,<module 'time' (built-in)>,Tuesday,JOEL FAGLIANO,"['Wine store purchase', 'Sound investments?', 'Business with monthly memberships', 'Neighbor of a Hoosier', 'Ham or lamb', 'Winning tic-tac-toe row', 'Traveling, as a band', 'Exercise with a cobra pose', 'Possess', 'Lab research assistant, maybe', '""Hooray for us!""', 'Word on a red-and-white name tag', '""Frozen"" studio', 'Like a case before the court', 'Mont Blanc, e.g.', '___ mode', 'Place for a hoedown', 'Passion', 'Somewhat', 'Modern cash register device', 'Like many mouthwashes', 'Beige shade', 'Where Graceland is: Abbr.', '1-10, e.g.', 'Result of a king vs. king endgame', 'Pat', 'Biblical partner of 37-Down', '""The best is the ___ of the good"": Voltaire', 'Einstein', '1945 conference site', 'House tour giver', 'Like loamy soil', 'Spot for a shot', 'Walked', 'Start to catch up to', 'Thanksgiving dessert', 'School attended by Lord Grantham on ""Downton Abbey""', '""Same here""', '""___ Your Dog, Charlie Brown"" (1968 TV special)', 'Spreadsheet contents', 'Mortise inserts', 'Betty who appeared in ""Who Framed Roger Rabbit""', '""It\'s all gone wrong!""', 'Small songbirds', 'Fierce way to fight', 'Estée of fragrances', 'Sign up, to Brits', '""Little Women"" woman', 'Speak Persian?', 'Contacted via beeper', 'Sporting arenas', 'Cheerful disposition', '""Ouch!""', 'Hall of fame', '___ Starling, ""The Silence of the Lambs"" protagonist', 'Comoros or Barbados', 'Gap subsidiary', 'Somewhat', '""Roll the ___""', 'Wilson and Hoover, but not Eisenhower', 'Image often accompanying the phrase ""Legalize it""', 'Pro-___', 'Deli loaf', 'Biblical partner of 47-Across', 'Like morning grass', 'Rammed like a ram', 'Charles Schwab competitor', 'It has axes', 'Spine-tingling', 'Somewhat, informally', 'O.K.', 'What fans do', 'Really liking', 'Nut job', 'Grandson of 47-Across and 37-Down', 'Molecule hidden in 4-, 11-, 23-, 25- and 29-Down']"
2015-01-07,<module 'time' (built-in)>,Wednesday,GREG JOHNSON,"['Blubber', 'Smartphone relative, for short', ""Allergy sufferer's concern"", 'Maze runner?', 'Item used by 13-Across to navigate the 22-Across', 'Visibly upset ... or happy', 'Slangy word of regret', 'Pink-colored, to Pedro', 'Org. for seniors', 'Late TV newsman Garrick', 'Home of the [circled letters]', '-like', 'Registered workers?', 'Poli-___', 'Like some breaking news, nowadays', 'Goes on and on', '""Me, too""', 'Sharon of Israel', 'Announcement at an airport', 'Worker with a béret, maybe', ""QB's goals"", 'First-timer', 'Began a relationship', 'Ruler of 30-Down', 'Spatter catcher', '5:2, e.g.', '""My bad!""', 'Front-___ (some washing machines)', 'JFK-based carrier', 'Avoid, as the [circled letters]', 'Daughter of 48-Across who helped 13-Across', 'Plan so that maybe one can', 'White House advisory grp.', 'Motor oil choice', 'Kool-Aid packet direction', '""I\'m in for it now!""', ""They're placed in Vegas"", 'Soup veggie', 'Resistant to wear and tear', 'Analyzed', 'Sports dept.', '""Give me a ___""', 'Tell it to the judge', 'Dante\'s ""Inferno""', 'Constructed', 'Old TV\'s ""Queen for ___""', 'Circus balancer', ""Like some punk rockers' hair"", 'Basics of education, colloquially', 'End of Arthur Miller\'s ""The Crucible,"" e.g.', 'Intel org.', 'Where ___ (a happening place)', 'Weapon used to slay the [circled letters]', 'Catches word of', 'Earthquake', 'Home of the [circled letters]', 'Key', 'U.K. record label', 'San ___', 'Hosp. scan', ""Many a girl's middle name"", 'They stick together in the playroom', ""Third-largest French-speaking city in the world [hint: it's in Ivory Coast]"", 'Some salon workers', 'Iraq war subj.', 'Big name in the film industry', 'Bumbling', 'Japanese noodles', 'Quaffs in pints', 'Sit (for)', 'Campaign', '88, e.g., familiarly', 'Give up, at least for now', 'Ooze', '___ Speedwagon', 'Constantly twirling a lock of hair, e.g.']"
2015-01-08,<module 'time' (built-in)>,Thursday,JACOB STULBERG,"['Nobel-winning novelist ___ Kertész', '""The Wind in the Willows"" squire', '3-Down sound', 'Take off', 'Engagement party?', 'Kerfuffle', 'Place for a bed and dresser', 'Kerfuffle', 'Excellence, to ancient Greeks', 'What may have quite a stir?', ""It's no fun"", 'City on the Italian Riviera', 'Not overt', 'Time past', 'Like some vin', 'Bad state to be in', '2005 Nobel-winning playwright', ""Ski jumper's path"", 'Sesame seed pastes', 'Sick', 'Got well', 'Acrobat displays?', 'A., B. and others: Abbr.', 'Parisian pronoun', 'Word in many Bugs Bunny puns', 'One outsmarted by Odysseus', ""They're marked"", 'Job listing abbr.', 'Honest, informally', 'Family moniker', 'Inadequate effort ... or the contents of six squares in this puzzle?', 'Pogo, e.g.', 'Word with bar or bed', '1997 Peter Fonda title role', 'Adams of ""Big Eyes""', 'Forcibly removes', 'Nag, e.g.', '___ Marías (Mexican penal colony)', 'Actress Kelly', '11-Across maker', 'African nation with a much-disputed border', 'Econ. sector', 'Tear asunder', 'Use as a resource', 'Short race, informally', 'Horizontally: Abbr.', 'Sinks', '""Here We Come a-Wassailing,"" for one', 'Treasure', 'Blew away', '""A fuller blast ___ shook our battlements"": ""Othello""', 'Minor problem', 'George of ""Route 66""', 'On good grounds', 'One side in the Boer Wars, informally', 'Unaided', 'Roller coaster unit', 'Part of a krone', 'Montreal university', '""The Man Who Mistook His Wife for ___"" (1985 book)', 'Winged god', 'Middle-earth inhabitant', 'Literary monogram', 'Traveling circus, often', 'Funny Terry', 'Accumulates', 'Winningest N.C.A.A. Basketball Championship sch.', 'Singer with the #1 debut album ""Animal,"" 2010', 'Start of a mathematical proof', 'Not smooth', 'Brand once pitched by Josephine the Plumber', 'Small egg', ""Tel Aviv's ___ Center for Peace"", 'Wintry mix', 'As well', 'Tiny amphibians', 'Site of the first Parliament of Scotland', 'R.N. locales']"
2015-01-09,<module 'time' (built-in)>,Friday,PATRICK BERRY,"['Refuse on the surface', 'The Great Pyramid was his tomb', 'Singular find', 'Constrained', 'Amateurish', '___ James, the so-called ""King of the Slide Guitar""', 'They\'re ""friendly"" in an ad campaign', 'Indy 500 winner Bobby', 'Ginnie ___ (home loan source)', 'Footwear brand since 1916', 'Intimated', 'Auto engine pioneer', 'Mrs., abroad', 'Cause for alarm', 'Immerse oneself', 'Resin-yielding tree whose name comes from the Bible', '1978 arcade classic from Japan', 'Inaugural addresses?', 'Mutes, with ""down""', '""Inside the Actors Studio"" topics', 'Zippo', 'Unimaginative', 'Court no-nos', ""Elvis impersonator's accessory"", 'Jamaica Bay Wildlife Refuge locale, for short', 'Give a damn?', 'Angular acceleration symbol', 'Famous Manhattan deli', ""Driver's license info"", 'Dormant Turkish volcano', '""Milk"" man', 'Haywire', 'Department store window display', 'Checks for heat, say', 'Not so filled out', 'Maker of Pixie Crinkles', '""What we pay for civilized society,"" per Oliver Wendell Holmes', 'Lunkheads', 'Long-ago greeting', '2012 film adaptation of ""Snow White""', 'Deviate from Hoyle', 'Fire place?', 'Slippery ___ (herbal remedy source)', 'What\'s manipulated in the crime known as ""clocking""', 'Hunting school?', 'Brought blessings upon oneself?', 'Law offices?', 'Made a speedy return?', 'Aspic ___ (savory French dish)', 'Rolls in a field', 'Diplomatic triumphs', 'Waits', 'Made fully visible', 'Hearts and spades, e.g.', 'Thread in a series', 'Emergency exit feature', 'They make up poetry', 'Kingdom of the Two Sicilies capital', 'Product introduced with the line ""And now, we\'re going to bring multi-touch to the market""', 'Gathers nuggets', 'Rigidly old-fashioned', 'Bridle path sounds', 'Esophageal pouch', 'Marks of adolescence', '""Blessed ___ ..."" (1971 Joan Baez album)', ""Where to find Darwin's tubercle""]"
2015-01-10,<module 'time' (built-in)>,Saturday,JOE KROZEL,"[""Subs' subs"", '""My old lady""', 'Many a Bedouin', 'Cigar with both ends open', 'Wraps around an island?', 'City across the Rio Grande from McAllen, Tex.', 'What may precede itself', 'Lover of Mattie in an Edith Wharton novel', 'Sulk', 'Flue flake', 'Mocha alternative', 'Souvenir sometimes made with shells', ""Vocalist's warm-up run"", 'Gathering of stockholders?', 'L.A. law notable, once', 'Scorer of the first double eagle in U.S. Open history, 1985', '""The Internship"" co-star, 2013', '""Really?""', 'Celsius, for one', 'The other side', 'Noted preschool sequence?', 'Question of introspection', 'Four at the fore?', 'Dolphin facility', 'Fizzler', 'Ugly ___', ""It's west of James Bay: Abbr."", 'Adrenaline, informally', 'Drug delivery options, briefly', 'Important union members?', 'Guarantor of financial accounts, for short', 'How a champagne bottle may arrive', 'Natural thing to feel', 'Locale of five major U.S. volcanoes', 'Big wave, e.g.', 'Takes a breather', 'Fighting losses', 'Invoice information', 'Water cycle studiers, e.g.', '""Pink-___"" (1966 Pink Panther short)', 'One of two extremes: Abbr.', 'Nevadans', '""Such gall!""', 'Common 60-Across', 'Shoreline avifauna', 'Masterpiece designated ""quasi una fantasia""', 'Per a 1942 song, ""She\'s making history, working for victory""', 'Radio heads', 'Many an old red giant', 'Packing option', 'Tucked away', 'Revolutionary figure', 'Thick plank insert?', 'Early Chinese dynasty', ""Trojans' foes"", 'Joining the fray', 'Dingo dodger', 'Frenchy portrayer in ""Grease""', 'What might be grabbed in a rush', ""Profs' backups"", 'One with patches', 'Settle a score, old-style', 'Lemon who played for the 1984 World Series-winning Tigers', 'Langston Hughes poem with the lines ""Nobody\'ll dare / Say to me, / \'Eat in the kitchen,\' / Then""', 'Good name for a chauffeur?', 'Lead-___', 'French possessive']"
